LOINC_NUM,COMPONENT
100732-7,Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel
100733-5,Cholesterol.in LDL^corrected for Cholesterol.in lipoprotein (little a)
100898-6,Lipid panel
101339-0,Cholesterol
105515-1,Total cholesterol from lipid profile
105516-9,LDL from lipid profile
105517-7,HDL from lipid profile
105518-5,Triglycerides from lipid profile
11054-4,Cholesterol.in LDL/Cholesterol.in HDL
12183-0,Cholesterol
12531-0,Cholesterol
12771-2,Cholesterol.in HDL
12772-0,Cholesterol.in HDL
12773-8,Cholesterol.in LDL
12912-2,Lipids
13457-7,Cholesterol.in LDL
13458-5,Cholesterol.in VLDL
13459-3,Cholesterol.in LDL/Cholesterol.total
13460-1,Cholesterol.in LDL/Cholesterol.in HDL
14154-9,Cholesterol sulfate
14155-6,Cholesterol.in LDL
14438-6,Cholesterol
14439-4,Cholesterol
14440-2,Cholesterol
14441-0,Cholesterol
14442-8,Cholesterol
14443-6,Cholesterol
14444-4,Cholesterol
14646-4,Cholesterol.in HDL
14647-2,Cholesterol
16615-7,Cholesterol.total/Cholesterol.in LDL
16616-5,Cholesterol.in HDL/Cholesterol.in LDL
18261-8,Cholesterol.in LDL
18262-6,Cholesterol.in LDL
18263-4,Cholesterol.in HDL
2085-9,Cholesterol.in HDL
2086-7,Cholesterol.in HDL
2087-5,Cholesterol.in IDL
2088-3,Cholesterol.in IDL
2089-1,Cholesterol.in LDL
2090-9,Cholesterol.in LDL
2091-7,Cholesterol.in VLDL
2092-5,Cholesterol.in VLDL
2093-3,Cholesterol
2094-1,Cholesterol.non-esterified
2095-8,Cholesterol.in HDL/Cholesterol.total
2096-6,Cholesterol/Triglyceride
21197-9,Cholesterol esters/Cholesterol.total
22676-1,7-Dehydrocholesterol
22748-8,Cholesterol.in LDL
24331-1,Lipid 1996 panel
25371-6,Cholesterol.in VLDL
2565-0,Cholesterol
2569-2,Lipids
26015-8,Cholesterol.in HDL 2
26016-6,Cholesterol.in HDL 2
26017-4,Cholesterol.in HDL 3
27340-9,Cholesterol.in HDL
29765-5,Cholesterol
32289-1,7-Dehydrocholesterol
32308-9,Cholesterol
32309-7,Cholesterol.total/Cholesterol.in HDL
33275-9,7-Dehydrocholesterol
34467-1,Cholesterol.in chylomicrons
34671-8,8-Dehydrocholesterol
34695-7,Cholesterol.in VLDL/Triglyceride
35197-3,Cholesterol.in HDL
35198-1,Cholesterol.in LDL
35199-9,Cholesterol.in VLDL
35200-5,Cholesterol
35243-5,Cholesterol.in HDL 3
35387-0,Cholesterol.in lipoprotein (little a)
35388-8,Cholesterol.in lipoprotein (little a)
35389-6,Cholesterol.in chylomicrons
39468-4,Cholesterol
39469-2,Cholesterol.in LDL
40597-7,7-Dehydrocholesterol
43394-6,Cholesterol.in LDL.acetylated
43395-3,Cholesterol.in VLDL.acetylated
43396-1,Cholesterol.non HDL
44711-0,Cholesterol.in LDL/Apolipoprotein B
44733-4,Triglyceride/Cholesterol.in HDL
44915-7,Cholesterol.in LDL/Cholesterol.in HDL
46700-1,7-Dehydrocholesterol
46986-6,Cholesterol.in VLDL 3
